"latitude","longitude","brightness"
-15.1861,130.4364,375.5
-15.3009,131.0945,338.7
-15.3035,131.11,334.4
-15.1951,130.4167,370
-15.307,131.0616,337.8
-15.3097,131.0771,367.1
-15.3123,131.0925,354.9
-15.201,130.3792,357.9
-15.2041,130.3968,377.9
-15.2072,130.4144,337.6
-15.2131,130.3768,384.4
-23.2358,138.1874,333.1
-35.02,145.6338,335.8
-35.0096,145.6321,336.3
-35.0112,145.6173,327.2
-33.2077,149.3157,335.9
-33.2092,149.3049,325.6
-33.1256,146.9858,326.4
-32.4179,151.4598,335.1
-32.4147,151.4536,322.5
-32.2223,149.386,343.8
-32.2238,149.3754,363
-32.2254,149.3648,326.8
-32.2026,146.739,331
-32.2041,146.7271,333.1
-31.4935,150.9579,324.9
-31.6998,148.8042,337.9
-30.884,151.0861,323.6
-30.8907,147.6092,336.2
-28.4704,150.7998,352.2
-28.4609,150.7977,343
-28.4685,150.8114,337.1
-29.4005,150.7015,328.8
-29.9084,152.8513,324.6
-29.9241,152.8852,330.9
-30.8921,147.5984,337.5
-27.372,148.3214,331.6
-26.4248,149.9346,349.6
-26.4266,149.9235,330
-26.4154,149.9326,346.8
-26.4171,149.9215,328.5
-14.2169,141.8018,344.9
-14.0741,143.6328,335
-14.0819,143.6437,330.8
-14.2167,141.7952,330.9
-14.2152,141.8066,328.9
-16.3924,136.9973,332.2
-16.3425,137.0468,333.8
-16.3278,137.0451,330.4
-16.3423,137.0418,335.6
-16.3276,137.0403,330.1
-25.5222,131.9707,331
-16.1814,126.0414,349.2
-16.2107,126.0123,355.2
-15.58,130.5921,334.7
-17.646,123.1842,347.8
-17.6444,123.1949,351.5
-15.3004,130.7668,311.9
-14.5807,130.709,310.4
-14.5831,130.6885,335.7
-14.5935,130.7108,337
-13.5018,132.1355,311.1
-13.5036,132.1205,326.9
-13.4904,132.1341,344.1
-13.4923,132.119,326.3
-13.5034,132.13,324.1
-13.5053,132.115,312.9
-13.492,132.1286,344.7
-13.4807,132.1271,340.6
-13.4014,132.1167,311.6
-13.4029,132.1106,320.1
-12.6608,130.8882,337
-12.663,130.8701,321.7
-12.6582,130.8814,330.6
-14.5816,130.6939,340.8
-14.5945,130.6959,356.3
-14.6203,130.6996,331.8
-14.6179,130.7198,337.3
-14.6332,130.7012,351.1
-14.6308,130.7214,369.3
-14.6461,130.7028,336.6
-14.6437,130.723,316.8
-14.7199,130.7384,313.6
-14.7481,130.7214,322.5
-14.7457,130.7414,320.3
-14.7764,130.7043,320.5
-14.7466,130.7266,331.8
-14.7747,130.7097,321.6
-14.8007,130.7114,355.6
-14.7984,130.7319,363.6
-15.154,130.479,320
-15.1697,130.4594,322.7
-15.1672,130.4805,327.2
-15.1657,130.4643,341.3
-15.1634,130.4849,322.7
-15.1814,130.4444,333.7
-15.1972,130.4245,324.7
-15.2155,130.3821,320.5
-15.213,130.4042,326.9
-14.596,130.6906,340.6
-29.9159,152.8926,318.1
-13.5038,132.1376,350.4
-13.4855,132.1405,340.7
-14.5923,130.7118,329.8
-14.6115,130.7088,341.8
-14.6132,130.7195,351.2
-14.6341,130.727,352.8
-14.6358,130.7199,327.5
-14.6375,130.7306,332.8
-14.8071,130.7181,312.4
-15.1967,130.457,322.8
-15.2064,130.4554,320.6
-15.3266,131.0383,314.4
-15.3164,130.8123,327.5
-15.3544,130.8061,327
-15.356,130.8165,335.2
-15.3655,130.815,324.6
-15.3671,130.8255,363.4
-15.4079,130.8122,361.5
-15.4174,130.8106,368.5
-15.4442,130.7956,350.3
-15.4537,130.7941,341.5
-15.4615,130.7821,337.6
-15.4632,130.7925,322.2
-15.5522,131.3692,312.8
-15.471,130.7804,319.2
-15.5191,130.6808,321.9
-15.527,130.6688,335.8
-15.5286,130.6792,340.5
-15.5382,130.6776,316.5
-15.5608,130.6131,314.2
-15.6273,130.5089,311.4
-15.629,130.5196,312.9
-13.9645,130.4944,315.9
-13.9663,130.5055,326.2
-13.9743,130.4927,318.1
-14.581,130.7026,336.1
-14.5827,130.7133,329.9
-31.6085,151.0964,327.1
-32.1849,146.9432,338.7
-32.98,146.4623,322.1
-11.4116,130.8787,328.4
-14.6582,130.7059,346
-14.6562,130.7161,341.4
-14.3992,126.6503,341.8
-15.1652,130.4753,332.3
-15.1754,130.4833,335
-15.1267,129.8991,337.3
-15.3131,131.1259,341.8
-15.1745,129.8353,334.9
-15.3507,131.0326,334.9
-15.3528,131.0497,338.7
-15.3375,131.0812,350.8
-15.3311,130.822,335.8
-15.341,130.8038,352.3
-15.343,130.8204,359.4
-15.3687,130.8339,345.9
-15.3708,130.8506,344.5
-15.3806,130.8323,373.9
-15.3827,130.8491,346.3
-15.3904,130.8141,347.1
-15.3924,130.8307,375.2
-15.4161,130.8275,348.6
-15.422,130.8203,343.9
-15.4318,130.8022,344.4
-15.4338,130.8188,382.8
-15.4457,130.8173,383.5
-15.4576,130.8159,346.1
-15.5735,131.3565,347.9
-15.5758,131.3505,346.6
-15.5779,131.3689,335.7
-15.5572,130.4281,331.6
-15.5765,130.5876,338.6
-15.5784,130.6035,358
-15.5668,130.4109,345.6
-15.5843,130.5541,338.3
-15.6365,130.5246,334.2
-16.0472,126.0806,344
-16.0549,126.0698,337.4
-16.0562,126.0792,341.8
-16.0859,126.0973,373
-16.0873,126.1067,341
-16.0936,126.0864,358.2
-16.095,126.0959,375.4
-16.161,126.109,343.4
-16.1674,126.0887,341.2
-16.1688,126.0981,342.3
-16.1778,126.0968,336.6
-16.1869,126.0955,333.8
-14.0141,130.6732,336.1
-14.0117,130.6677,338.4
-14.2882,130.7625,333.4
-14.6117,130.712,365.6
-17.6181,123.2227,385.8
-17.6243,123.2012,340.3
-17.6274,123.2212,345
-17.6305,123.2411,344.5
-25.5046,131.9879,327.9
-25.4883,131.9657,342.6
-25.491,131.9962,335.5
-25.4896,131.9895,340.9
-31.5999,147.0096,327.5
-32.9035,146.397,324.6
-32.8986,146.4207,322.7
-32.9007,146.4036,328.9
-16.3295,136.9267,341.2
-16.39,136.998,347.9
-16.3917,136.9871,353.1
-16.3311,136.9159,340.6
-16.3198,136.9251,371
-16.3102,136.9234,347.3
-15.8067,137.0642,344.9
